DATETIME,AIR_TEMP,AIR_HUMIDITY,PRECIP,SOIL_TEMP_0_7,SOIL_MOISTURE_0_7
2022-12-31 21:00:00+00:00,4.0,99.6496,0.0,5.75,0.3
2022-12-31 22:00:00+00:00,3.2,100.0,0.0,5.6,0.3
2022-12-31 23:00:00+00:00,2.85,99.646324,0.0,5.45,0.3
2023-01-01 00:00:00+00:00,3.35,97.557205,0.0,3.85,0.301
2023-01-01 01:00:00+00:00,2.9,98.59247,0.0,4.25,0.301
2023-01-01 02:00:00+00:00,2.75,96.509865,0.0,4.45,0.301
2023-01-01 03:00:00+00:00,2.8,92.46736,0.0,4.55,0.301
2023-01-01 04:00:00+00:00,3.1,89.55787,0.0,4.5,0.301
2023-01-01 05:00:00+00:00,3.35,90.86627,0.0,4.5,0.301
2023-01-01 06:00:00+00:00,3.3,88.618004,0.0,4.55,0.302
2023-01-01 07:00:00+00:00,3.05,88.914375,0.0,4.7,0.302
2023-01-01 08:00:00+00:00,3.7,88.96954,0.0,5.15,0.302
2023-01-01 09:00:00+00:00,4.7,91.28259,0.0,5.95,0.302
2023-01-01 10:00:00+00:00,5.5,96.92218,0.0,6.85,0.302
2023-01-01 11:00:00+00:00,6.6,95.61941,0.0,7.8,0.302
2023-01-01 12:00:00+00:00,8.1,91.507355,0.0,8.25,0.303
2023-01-01 13:00:00+00:00,8.95,88.79153,0.0,8.8,0.303
2023-01-01 14:00:00+00:00,8.45,90.905525,0.0,8.75,0.303
2023-01-01 15:00:00+00:00,5.1,98.2741,0.0,7.7,0.303
2023-01-01 16:00:00+00:00,3.8,99.99999,0.0,6.65,0.303
2023-01-01 17:00:00+00:00,4.45,97.92133,0.0,5.8,0.303
2023-01-01 18:00:00+00:00,5.4,95.91179,0.0,5.1,0.303
2023-01-01 19:00:00+00:00,4.65,98.267876,0.0,4.5,0.303
2023-01-01 20:00:00+00:00,3.95,98.604324,0.0,4.1,0.303
2023-01-01 21:00:00+00:00,1.95,99.288574,0.0,3.95,0.303
2023-01-01 22:00:00+00:00,1.7,99.643,0.0,3.95,0.302
2023-01-01 23:00:00+00:00,2.0,98.582184,0.0,4.0,0.302
2023-01-02 00:00:00+00:00,1.85,99.28798,0.0,3.15,0.301
2023-01-02 01:00:00+00:00,1.75,98.57931,0.0,3.4,0.301
2023-01-02 02:00:00+00:00,1.45,96.82092,0.0,3.5,0.301
2023-01-02 03:00:00+00:00,1.8,90.75549,0.0,3.55,0.301
2023-01-02 04:00:00+00:00,2.1,90.777084,0.0,3.65,0.301
2023-01-02 05:00:00+00:00,2.05,89.15024,0.0,3.65,0.301
2023-01-02 06:00:00+00:00,2.1,87.87488,0.0,3.65,0.301
2023-01-02 07:00:00+00:00,2.65,85.42519,0.0,3.9,0.301
2023-01-02 08:00:00+00:00,3.35,85.50192,0.0,4.4,0.301
2023-01-02 09:00:00+00:00,3.95,89.62596,0.0,5.15,0.301
2023-01-02 10:00:00+00:00,4.3,96.55276,0.0,5.95,0.301
2023-01-02 11:00:00+00:00,5.6,90.388016,0.0,6.9,0.301
2023-01-02 12:00:00+00:00,7.0,92.070564,0.0,8.75,0.298
2023-01-02 13:00:00+00:00,8.15,88.41903,0.0,9.0,0.298
2023-01-02 14:00:00+00:00,8.1,88.11055,0.0,8.7,0.298
2023-01-02 15:00:00+00:00,4.9,97.246864,0.0,7.65,0.298
