DATETIME,AIR_TEMP,AIR_HUMIDITY,PRECIP,SOIL_TEMP_0_7,SOIL_MOISTURE_0_7
2022-12-31 21:00:00+00:00,-1.0569999,46.253372,0.0,1.6430001,0.377
2022-12-31 22:00:00+00:00,-1.257,45.46106,0.0,1.543,0.377
2022-12-31 23:00:00+00:00,-1.3570001,45.430748,0.0,1.4430001,0.377
2023-01-01 00:00:00+00:00,-2.257,46.634766,0.0,2.1430001,0.374
2023-01-01 01:00:00+00:00,-2.107,45.75181,0.0,1.593,0.374
2023-01-01 02:00:00+00:00,-2.307,44.779003,0.0,1.4430001,0.374
2023-01-01 03:00:00+00:00,-2.457,44.193592,0.0,1.343,0.374
2023-01-01 04:00:00+00:00,-2.607,43.613667,0.0,1.243,0.374
2023-01-01 05:00:00+00:00,-2.857,44.070694,0.0,1.143,0.373
2023-01-01 06:00:00+00:00,0.39300004,49.51668,0.0,1.143,0.373
2023-01-01 07:00:00+00:00,6.0930004,55.290592,0.0,1.343,0.373
2023-01-01 08:00:00+00:00,9.643001,30.949886,0.0,2.543,0.372
2023-01-01 09:00:00+00:00,10.143001,35.778458,0.0,4.6930003,0.371
2023-01-01 10:00:00+00:00,10.293,42.35088,0.0,6.1930003,0.37
2023-01-01 11:00:00+00:00,9.943,50.90996,0.0,7.143,0.369
2023-01-01 12:00:00+00:00,8.693,61.02619,0.0,6.043,0.367
2023-01-01 13:00:00+00:00,8.143,63.569954,0.0,6.043,0.367
2023-01-01 14:00:00+00:00,7.493,61.83961,0.0,4.793,0.367
2023-01-01 15:00:00+00:00,5.243,58.642895,0.0,3.493,0.367
2023-01-01 16:00:00+00:00,1.493,60.35965,0.0,2.543,0.368
2023-01-01 17:00:00+00:00,2.093,45.04211,0.0,1.8930001,0.368
2023-01-01 18:00:00+00:00,1.4430001,42.613358,0.0,1.6930001,0.368
2023-01-01 19:00:00+00:00,0.29300004,44.323837,0.0,1.593,0.368
2023-01-01 20:00:00+00:00,-0.2569999,43.113953,0.0,1.493,0.367
2023-01-01 21:00:00+00:00,0.34300005,38.408516,0.0,1.4430001,0.367
2023-01-01 22:00:00+00:00,-0.10699993,38.423477,0.0,1.3930001,0.367
2023-01-01 23:00:00+00:00,0.693,34.82619,0.0,1.343,0.367
2023-01-02 00:00:00+00:00,-2.357,40.940422,0.0,1.8930001,0.367
2023-01-02 01:00:00+00:00,-2.807,43.90741,0.0,1.493,0.367
2023-01-02 02:00:00+00:00,-2.307,41.96859,0.0,1.343,0.367
2023-01-02 03:00:00+00:00,-1.957,41.737194,0.0,1.243,0.367
2023-01-02 04:00:00+00:00,-1.8570001,42.278793,0.0,1.143,0.367
2023-01-02 05:00:00+00:00,-1.8570001,44.021305,0.0,1.093,0.366
2023-01-02 06:00:00+00:00,1.9430001,47.885803,0.0,1.093,0.366
2023-01-02 07:00:00+00:00,7.5930004,51.377087,0.0,1.343,0.366
2023-01-02 08:00:00+00:00,10.393001,42.22454,0.0,2.543,0.365
2023-01-02 09:00:00+00:00,10.543,45.982536,0.0,4.6930003,0.365
2023-01-02 10:00:00+00:00,10.743,50.764618,0.0,6.243,0.364
2023-01-02 11:00:00+00:00,10.543,58.71147,0.0,7.243,0.363
2023-01-02 12:00:00+00:00,8.843,63.505783,0.0,4.543,0.352
2023-01-02 13:00:00+00:00,8.293,68.78212,0.0,4.993,0.352
2023-01-02 14:00:00+00:00,6.6930003,63.230965,0.0,4.043,0.352
2023-01-02 15:00:00+00:00,9.193,40.48859,0.0,2.993,0.353
2023-01-02 16:00:00+00:00,9.043,33.099625,0.0,2.243,0.353
2023-01-02 17:00:00+00:00,3.743,42.81008,0.0,1.6930001,0.353
2023-01-02 18:00:00+00:00,2.343,44.593376,0.0,1.543,0.353
2023-01-02 19:00:00+00:00,2.543,40.497166,0.0,1.4430001,0.354
2023-01-02 20:00:00+00:00,3.243,38.236668,0.0,1.3930001,0.354
2023-01-02 21:00:00+00:00,3.443,40.297413,0.0,1.3930001,0.354
2023-01-02 22:00:00+00:00,3.243,42.991753,0.0,1.3930001,0.354
2023-01-02 23:00:00+00:00,2.993,44.615078,0.0,1.4430001,0.354
2023-01-03 00:00:00+00:00,-0.45699996,51.443523,0.0,0.24300003,0.355
2023-01-03 01:00:00+00:00,-0.2569999,52.108524,0.0,0.24300003,0.355
2023-01-03 02:00:00+00:00,-0.0069999695,51.774246,0.0,0.24300003,0.355
2023-01-03 03:00:00+00:00,0.49300003,50.91692,0.0,0.24300003,0.355
2023-01-03 04:00:00+00:00,0.54300004,51.93108,0.0,0.24300003,0.355
2023-01-03 05:00:00+00:00,0.49300003,52.729336,0.0,0.24300003,0.355
2023-01-03 06:00:00+00:00,3.793,45.54921,0.0,0.29300004,0.355
2023-01-03 07:00:00+00:00,9.993,35.19909,0.0,0.49300003,0.355
2023-01-03 08:00:00+00:00,12.993,28.006716,0.0,0.79300004,0.354
2023-01-03 09:00:00+00:00,12.393001,47.865532,0.0,1.143,0.354
2023-01-03 10:00:00+00:00,12.393001,56.737972,0.0,1.743,0.353
2023-01-03 11:00:00+00:00,12.243,63.398685,0.0,4.143,0.353
2023-01-03 12:00:00+00:00,12.393001,62.34302,0.0,1.043,0.354
2023-01-03 13:00:00+00:00,12.743,51.132973,0.0,1.293,0.354
2023-01-03 14:00:00+00:00,10.893001,42.68354,0.0,1.243,0.354
