DATETIME,AIR_TEMP,AIR_HUMIDITY,PRECIP,SOIL_TEMP_0_7,SOIL_MOISTURE_0_7
2022-12-31 21:00:00+00:00,1.6,86.560486,0.0,4.7,0.275
2022-12-31 22:00:00+00:00,1.15,85.25876,0.0,4.3,0.274
2022-12-31 23:00:00+00:00,0.75,84.59055,0.0,3.95,0.274
2023-01-01 00:00:00+00:00,0.65,87.73891,0.0,3.75,0.273
2023-01-01 01:00:00+00:00,-0.5,91.25664,0.0,3.45,0.273
2023-01-01 02:00:00+00:00,-0.65,89.24941,0.0,3.1,0.273
2023-01-01 03:00:00+00:00,-0.95,88.565765,0.0,2.75,0.273
2023-01-01 04:00:00+00:00,-0.8,86.953735,0.0,2.55,0.273
2023-01-01 05:00:00+00:00,-0.45,82.896126,0.0,2.4,0.273
2023-01-01 06:00:00+00:00,2.3,67.75828,0.0,3.05,0.272
2023-01-01 07:00:00+00:00,5.6,58.73417,0.0,4.5,0.272
2023-01-01 08:00:00+00:00,8.75,47.696213,0.0,6.35,0.272
2023-01-01 09:00:00+00:00,10.95,40.70906,0.0,8.2,0.271
2023-01-01 10:00:00+00:00,12.15,38.444542,0.0,9.8,0.27
2023-01-01 11:00:00+00:00,12.75,37.92174,0.0,10.9,0.269
2023-01-01 12:00:00+00:00,13.4,38.53244,0.0,12.25,0.265
2023-01-01 13:00:00+00:00,12.85,46.810074,0.0,11.9,0.265
2023-01-01 14:00:00+00:00,12.1,43.03659,0.0,10.65,0.265
2023-01-01 15:00:00+00:00,10.7,47.557476,0.0,8.95,0.265
2023-01-01 16:00:00+00:00,9.25,52.784275,0.0,7.6,0.265
2023-01-01 17:00:00+00:00,7.75,57.376328,0.0,6.55,0.265
2023-01-01 18:00:00+00:00,3.6,75.10276,0.0,5.8,0.265
2023-01-01 19:00:00+00:00,2.8,78.60647,0.0,5.25,0.265
2023-01-01 20:00:00+00:00,2.3,79.10507,0.0,4.8,0.265
2023-01-01 21:00:00+00:00,1.7,77.00518,0.0,4.45,0.265
2023-01-01 22:00:00+00:00,1.1,76.05564,0.0,4.1,0.265
2023-01-01 23:00:00+00:00,0.6,75.96948,0.0,3.75,0.265
2023-01-02 00:00:00+00:00,0.1,79.06008,0.0,3.4,0.26
2023-01-02 01:00:00+00:00,-0.15,75.83944,0.0,3.15,0.26
2023-01-02 02:00:00+00:00,-0.6,75.76093,0.0,2.95,0.26
2023-01-02 03:00:00+00:00,-1.95,83.95475,0.0,2.55,0.26
2023-01-02 04:00:00+00:00,-2.4,86.14095,0.0,2.05,0.26
2023-01-02 05:00:00+00:00,-1.95,82.39046,0.0,1.75,0.26
2023-01-02 06:00:00+00:00,1.4,62.192448,0.0,2.35,0.26
2023-01-02 07:00:00+00:00,4.75,51.73332,0.0,3.85,0.259
2023-01-02 08:00:00+00:00,8.0,41.82822,0.0,5.7,0.259
2023-01-02 09:00:00+00:00,10.85,35.0591,0.0,7.6,0.258
2023-01-02 10:00:00+00:00,12.8,30.255505,0.0,9.3,0.257
2023-01-02 11:00:00+00:00,13.75,26.371847,0.0,10.55,0.256
2023-01-02 12:00:00+00:00,13.9,32.207787,0.0,12.2,0.251
2023-01-02 13:00:00+00:00,13.2,47.582363,0.0,11.9,0.251
2023-01-02 14:00:00+00:00,12.75,38.90537,0.0,10.6,0.251
2023-01-02 15:00:00+00:00,11.1,42.277317,0.0,8.85,0.251
2023-01-02 16:00:00+00:00,9.75,45.252407,0.0,7.5,0.251
2023-01-02 17:00:00+00:00,4.15,69.41521,0.0,6.45,0.251
2023-01-02 18:00:00+00:00,2.55,79.43216,0.0,5.55,0.251
2023-01-02 19:00:00+00:00,1.65,82.86042,0.0,4.85,0.251
2023-01-02 20:00:00+00:00,0.8,83.36219,0.0,4.25,0.251
2023-01-02 21:00:00+00:00,0.15,84.20885,0.0,3.7,0.251
2023-01-02 22:00:00+00:00,-0.6,86.33207,0.0,3.25,0.251
2023-01-02 23:00:00+00:00,-1.2,87.56215,0.0,2.8,0.251
2023-01-03 00:00:00+00:00,-0.9,85.02681,0.0,2.5,0.25
2023-01-03 01:00:00+00:00,-1.7,84.93485,0.0,2.15,0.25
2023-01-03 02:00:00+00:00,-1.8,82.41041,0.0,1.85,0.25
2023-01-03 03:00:00+00:00,-1.45,75.61167,0.0,1.6,0.25
2023-01-03 04:00:00+00:00,-1.8,73.56515,0.0,1.4,0.25
2023-01-03 05:00:00+00:00,-1.75,74.13669,0.0,1.2,0.25
2023-01-03 06:00:00+00:00,2.1,58.48919,0.0,1.95,0.25
2023-01-03 07:00:00+00:00,5.7,47.704624,0.0,3.6,0.25
2023-01-03 08:00:00+00:00,8.9,39.949734,0.0,5.65,0.25
2023-01-03 09:00:00+00:00,11.4,36.55929,0.0,7.65,0.249
2023-01-03 10:00:00+00:00,12.95,35.815083,0.0,9.45,0.248
2023-01-03 11:00:00+00:00,13.75,34.88208,0.0,10.65,0.247
2023-01-03 12:00:00+00:00,14.55,35.893803,0.0,12.0,0.245
2023-01-03 13:00:00+00:00,13.55,47.51203,0.0,11.75,0.245
2023-01-03 14:00:00+00:00,12.7,44.156525,0.0,10.5,0.245
2023-01-03 15:00:00+00:00,10.75,50.76655,0.0,8.75,0.245
2023-01-03 16:00:00+00:00,5.35,74.332954,0.0,7.35,0.245
2023-01-03 17:00:00+00:00,3.45,82.789925,0.0,6.25,0.245
2023-01-03 18:00:00+00:00,2.5,84.7928,0.0,5.45,0.245
2023-01-03 19:00:00+00:00,2.2,82.32918,0.0,4.7,0.245
2023-01-03 20:00:00+00:00,0.9,87.7625,0.0,4.1,0.245
2023-01-03 21:00:00+00:00,0.55,89.67675,0.0,3.6,0.245
