## Site Characteristics
Country='Turkey'
Station='Adana_Karataş'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=35.375
Latitude=36.575
Elevation=47.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,10100.00,7.85,17.50,0.76,6.88,0.00,0.00
20230101,10560.00,8.70,18.05,0.63,6.04,0.00,0.00
20230102,10530.00,8.60,18.65,0.63,7.67,0.00,0.00
20230103,10440.00,7.20,18.35,0.66,5.95,0.00,0.00
20230104,10410.00,7.65,17.75,0.70,4.17,0.00,0.00
20230105,8200.00,7.60,17.70,0.91,3.73,1.00,0.00
20230106,10400.00,9.85,17.50,0.89,5.02,2.00,0.00
20230107,10490.00,6.95,15.80,0.68,4.14,0.00,0.00
20230108,10540.00,7.75,15.50,0.69,5.44,0.00,0.00
20230109,10660.00,6.15,15.40,0.68,4.60,0.00,0.00
20230110,10200.00,6.70,15.00,0.72,5.77,0.00,0.00
20230111,7910.00,9.90,14.40,0.67,9.56,0.00,0.00
20230112,7530.00,7.85,15.25,0.70,9.12,0.20,0.00
20230113,3770.00,8.85,13.30,0.86,7.27,2.60,0.00
20230114,4920.00,9.20,15.60,0.95,7.22,5.70,0.00
20230115,1930.00,9.20,11.65,1.09,5.73,21.40,0.00
20230116,4220.00,10.20,16.10,1.21,3.94,12.10,0.00
20230117,9230.00,9.60,16.95,1.20,4.08,0.90,0.00
20230118,10100.00,10.05,17.75,1.18,3.35,0.00,0.00
20230119,11290.00,9.80,17.75,1.00,5.85,0.00,0.00
20230120,11370.00,9.35,18.15,0.92,6.62,0.00,0.00
20230121,11450.00,9.65,18.65,0.93,6.02,0.00,0.00
20230122,11540.00,9.55,18.70,1.03,4.95,0.00,0.00
20230123,11680.00,9.20,17.75,0.95,4.69,0.00,0.00
20230124,11890.00,8.15,17.60,0.86,4.50,0.00,0.00
20230125,11850.00,7.50,17.15,0.81,3.51,0.00,0.00
20230126,7330.00,8.65,16.80,0.77,7.62,1.40,0.00
20230127,11580.00,11.30,16.50,1.00,7.20,3.50,0.00
