## Site Characteristics
Country='Turkey'
Station='Aksaray_Merkez'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=34.032
Latitude=38.368
Elevation=967.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,9840.00,-3.25,7.10,0.38,3.89,0.00,0.00
20230101,10250.00,-4.50,4.45,0.35,3.05,0.00,0.00
20230102,10240.00,-6.90,3.65,0.30,2.25,0.00,0.00
20230103,10310.00,-5.15,3.75,0.31,1.61,0.00,0.00
20230104,9630.00,-5.50,3.75,0.41,2.50,0.00,0.00
20230105,8580.00,-3.45,6.85,0.41,2.22,2.50,0.00
20230106,8300.00,-2.55,4.40,0.53,2.48,0.00,0.00
20230107,10290.00,-4.75,5.00,0.41,3.18,0.00,0.00
20230108,10500.00,-4.65,3.80,0.40,2.84,0.00,0.00
20230109,10800.00,-4.80,8.40,0.38,3.26,0.00,0.00
20230110,9590.00,-2.15,11.55,0.40,5.39,0.00,0.00
20230111,7040.00,0.30,9.20,0.52,4.72,0.00,0.00
20230112,10180.00,-2.10,8.05,0.39,3.81,0.00,0.00
20230113,10990.00,-1.90,7.70,0.40,4.47,0.00,0.00
20230114,9270.00,-3.05,7.85,0.48,3.98,0.00,0.00
20230115,10900.00,-1.40,8.40,0.54,3.66,0.00,0.00
20230116,10730.00,-1.75,10.50,0.56,5.20,0.00,0.00
20230117,10620.00,-0.85,11.55,0.54,4.76,0.00,0.00
20230118,11250.00,-0.10,12.10,0.54,3.80,0.00,0.00
20230119,11890.00,-1.40,12.35,0.43,4.83,0.00,0.00
20230120,11700.00,-1.25,11.40,0.47,3.94,0.00,0.00
20230121,11660.00,-1.40,10.90,0.50,3.61,0.00,0.00
20230122,11890.00,-2.50,9.30,0.46,2.33,0.00,0.00
20230123,12010.00,-2.70,8.90,0.44,3.14,0.00,0.00
20230124,11620.00,-3.90,6.00,0.45,3.06,0.00,0.00
20230125,11780.00,-2.95,6.40,0.48,2.73,0.00,0.00
20230126,6070.00,-0.90,10.85,0.41,6.01,0.70,0.00
20230127,9760.00,0.65,10.60,0.62,6.59,37.10,0.00
20230128,10750.00,-1.85,6.60,0.56,2.91,2.90,0.00
20230129,10990.00,-2.65,5.40,0.49,3.40,0.00,0.00
20230130,5610.00,-2.25,2.30,0.52,4.05,7.50,0.00
20230131,6330.00,-2.55,1.50,0.44,3.33,0.50,0.00
20230201,11730.00,-6.10,0.90,0.34,3.35,0.00,0.00
20230202,13600.00,-5.40,5.00,0.30,4.88,0.00,0.00
20230203,7980.00,-3.35,1.15,0.38,3.48,0.80,0.00
20230204,9890.00,-4.45,5.45,0.40,6.70,0.60,0.00
20230205,3580.00,-0.90,1.50,0.49,7.44,11.80,0.00
20230206,11480.00,-9.65,-1.30,0.34,4.40,1.00,0.00
20230207,14730.00,-13.85,-4.55,0.27,3.77,0.10,0.00
20230208,11890.00,-13.90,-3.35,0.29,3.30,0.00,0.00
20230209,14290.00,-14.00,-4.30,0.23,3.90,0.00,0.00
20230210,14360.00,-14.75,-2.60,0.24,2.45,0.00,0.00
20230211,14840.00,-9.50,0.15,0.29,2.43,0.00,0.00
20230212,10210.00,-6.85,-0.05,0.33,3.04,0.00,0.00
20230213,14390.00,-7.10,0.55,0.31,2.89,0.00,0.00
20230214,13640.00,-8.35,1.05,0.35,4.09,0.00,0.00
20230215,9950.00,-5.60,0.00,0.35,3.49,0.10,0.00
20230216,15560.00,-6.45,3.10,0.33,2.78,0.00,0.00
20230217,15700.00,-2.85,8.70,0.31,3.81,0.00,0.00
20230218,14910.00,0.35,11.60,0.41,3.83,0.00,0.00
20230219,14590.00,1.50,11.60,0.47,5.99,0.90,0.00
20230220,15450.00,-0.85,7.95,0.55,3.64,0.00,0.00
20230221,16320.00,-0.60,11.30,0.47,2.22,0.00,0.00
20230222,15510.00,-1.10,11.15,0.57,4.94,0.00,0.00
20230223,16530.00,1.25,11.85,0.55,5.19,0.00,0.00
20230224,15040.00,-0.20,13.20,0.53,5.39,0.00,0.00
20230225,17050.00,-0.50,14.95,0.56,4.58,0.00,0.00
20230226,15730.00,0.20,16.60,0.50,5.23,0.00,0.00
20230227,15560.00,4.20,19.60,0.62,5.46,0.00,0.00
20230228,15750.00,5.45,18.95,0.70,5.22,0.00,0.00
20230301,16180.00,6.70,17.40,0.64,3.30,0.10,0.00
20230302,15860.00,6.25,17.05,0.72,4.83,0.50,0.00
20230303,17340.00,3.85,16.60,0.62,4.85,0.20,0.00
20230304,10810.00,6.55,18.85,0.76,10.07,3.20,0.00
20230305,15900.00,2.25,9.00,0.66,6.71,15.50,0.00
20230306,15990.00,-0.50,12.90,0.48,4.46,0.00,0.00
20230307,14580.00,3.15,13.00,0.54,3.41,0.00,0.00
20230308,17310.00,2.00,14.75,0.54,4.97,0.00,0.00
20230309,15220.00,3.10,16.05,0.64,5.30,0.00,0.00
20230310,18080.00,7.10,17.65,0.61,9.75,0.00,0.00
20230311,4720.00,7.25,13.55,0.72,4.73,5.10,0.00
20230312,3570.00,2.95,7.85,0.83,6.28,13.30,0.00
20230313,11450.00,2.25,9.50,0.69,4.53,2.10,0.00
20230314,11000.00,3.20,10.15,0.77,3.00,1.30,0.00
20230315,18370.00,1.90,14.70,0.72,8.04,0.50,0.00
20230316,10190.00,4.30,12.70,0.77,4.84,3.90,0.00
20230317,12980.00,1.65,11.45,0.78,3.70,9.90,0.00
20230318,5460.00,4.25,8.85,0.79,5.24,10.30,0.00
20230319,9910.00,2.15,9.75,0.71,5.91,3.00,0.00
20230320,19790.00,-0.60,12.55,0.68,4.87,0.00,0.00
20230321,18270.00,2.30,13.90,0.68,4.38,0.10,0.00
20230322,17770.00,3.55,13.15,0.76,3.44,0.40,0.00
20230323,21070.00,3.00,13.60,0.71,3.98,0.00,0.00
20230324,19480.00,3.25,14.80,0.73,4.06,0.00,0.00
20230325,21860.00,2.30,15.80,0.70,3.05,0.00,0.00
20230326,21860.00,5.65,16.30,0.78,4.00,0.30,0.00
20230327,18950.00,7.25,16.60,0.64,11.53,2.50,0.00
20230328,8490.00,0.10,5.75,0.60,7.33,19.30,0.00
20230329,21890.00,-4.45,2.80,0.34,6.33,2.00,0.00
20230330,20870.00,-5.80,4.30,0.34,3.81,0.00,0.00
20230331,22430.00,-1.10,13.90,0.50,4.22,0.00,0.00
20230401,14720.00,5.05,14.85,0.78,6.14,0.60,0.00
20230402,22640.00,6.40,19.45,0.76,4.83,0.30,0.00
20230403,21510.00,6.70,21.65,0.67,10.26,3.40,0.00
20230404,21010.00,5.30,16.60,0.77,5.98,1.10,0.00
20230405,21830.00,4.40,12.75,0.78,5.23,7.20,0.00
20230406,13980.00,4.45,10.10,0.73,5.60,2.40,0.00
20230407,23190.00,0.75,13.60,0.67,2.75,0.00,0.00
20230408,19160.00,5.95,18.20,0.78,4.01,5.30,0.00
20230409,20900.00,7.60,20.15,0.98,7.38,3.90,0.00
20230410,18650.00,4.85,14.35,0.87,3.95,6.30,0.00
20230411,18180.00,4.00,11.55,0.74,4.22,2.90,0.00
20230412,18220.00,2.85,10.95,0.66,5.73,1.40,0.00
20230413,25120.00,1.60,17.20,0.62,4.80,0.00,0.00
20230414,25050.00,4.85,19.50,0.73,3.71,0.00,0.00
20230415,22840.00,6.90,21.75,0.79,5.52,0.00,0.00
20230416,23700.00,8.05,23.40,0.67,5.66,0.00,0.00
20230417,21960.00,9.30,24.25,0.70,7.98,0.00,0.00
20230418,23790.00,9.50,23.35,0.70,10.60,0.30,0.00
20230419,22640.00,6.60,15.35,0.75,5.66,0.50,0.00
20230420,24750.00,3.50,15.55,0.68,3.86,0.30,0.00
20230421,25060.00,4.90,16.80,0.66,3.86,0.00,0.00
20230422,20040.00,7.25,17.45,0.75,4.22,1.10,0.00
20230423,23340.00,6.60,15.35,0.75,4.73,4.70,0.00
20230424,23530.00,4.10,19.30,0.66,7.35,0.20,0.00
20230425,24950.00,6.95,20.30,0.71,6.99,0.10,0.00
20230426,15570.00,6.45,17.60,0.93,7.09,15.10,0.00
20230427,13170.00,4.85,12.75,0.86,4.27,7.90,0.00
20230428,12530.00,3.60,10.55,0.68,4.84,1.70,0.00
20230429,19340.00,2.95,11.30,0.65,4.94,0.30,0.00
20230430,27760.00,3.40,14.80,0.58,3.71,0.00,0.00
20230501,26350.00,4.40,16.65,0.61,4.47,0.10,0.00
20230502,28240.00,3.80,19.55,0.68,3.81,0.00,0.00
20230503,23410.00,7.05,21.80,0.63,5.73,0.00,0.00
20230504,21910.00,8.05,23.95,0.77,5.95,0.00,0.00
20230505,25140.00,12.15,22.15,0.75,7.03,0.20,0.00
20230506,26050.00,7.90,18.65,0.93,4.88,0.10,0.00
20230507,21020.00,8.35,18.25,0.95,3.53,0.90,0.00
20230508,24430.00,8.20,20.50,0.87,3.89,0.00,0.00
20230509,24420.00,9.75,21.45,0.97,5.47,1.80,0.00
20230510,22380.00,10.35,22.85,1.22,6.78,0.80,0.00
20230511,16110.00,11.10,18.40,1.17,5.80,3.50,0.00
20230512,18620.00,9.85,18.60,1.16,4.33,3.80,0.00
20230513,25350.00,8.85,19.80,0.99,4.74,0.00,0.00
20230514,25930.00,9.25,23.00,0.89,5.55,0.00,0.00
20230515,28440.00,11.70,26.00,0.98,4.22,0.00,0.00
20230516,25420.00,13.45,28.75,1.09,4.79,6.20,0.00
20230517,27340.00,11.90,25.30,0.99,7.13,0.30,0.00
20230518,25930.00,9.55,20.50,1.02,4.50,1.10,0.00
20230519,21770.00,9.65,19.65,1.09,4.75,2.00,0.00
20230520,26700.00,9.95,20.35,1.04,3.14,4.50,0.00
20230521,21140.00,11.25,21.40,1.06,4.24,0.10,0.00
20230522,24400.00,10.40,22.40,1.13,8.03,3.90,0.00
20230523,26470.00,9.20,21.25,1.00,5.00,0.10,0.00
20230524,25560.00,10.35,21.80,1.01,4.00,0.20,0.00
20230525,25580.00,10.95,21.55,1.11,3.16,1.30,0.00
20230526,25570.00,10.70,26.50,1.03,5.55,1.50,0.00
20230527,17110.00,12.65,20.50,1.11,7.29,2.20,0.00
20230528,25210.00,10.30,23.65,1.05,6.44,5.10,0.00
20230529,22770.00,10.70,22.30,1.12,6.28,6.30,0.00
20230530,24350.00,12.00,22.00,1.19,2.88,0.60,0.00
20230531,25000.00,12.20,23.15,1.26,4.24,2.90,0.00
20230601,22140.00,12.25,25.55,1.29,5.48,1.50,0.00
20230602,26020.00,14.80,28.10,1.14,10.80,0.20,0.00
20230603,20590.00,12.05,20.85,1.35,4.51,4.00,0.00
20230604,16560.00,12.00,20.85,1.39,3.28,18.00,0.00
20230605,20850.00,13.50,23.40,1.31,4.69,0.60,0.00
20230606,30180.00,12.00,25.80,1.27,4.72,0.00,0.00
20230607,25280.00,15.05,28.40,1.15,4.92,0.10,0.00
20230608,24680.00,14.65,26.35,1.20,5.28,1.10,0.00
20230609,26520.00,13.90,25.20,1.22,4.09,0.10,0.00
20230610,22310.00,14.65,24.75,1.42,3.90,1.60,0.00
20230611,19180.00,12.70,21.95,1.46,3.36,4.30,0.00
20230612,22790.00,12.80,22.50,1.38,3.11,1.10,0.00
20230613,21740.00,13.10,22.10,1.41,4.93,7.30,0.00
20230614,23970.00,13.10,23.70,1.38,4.21,0.90,0.00
20230615,29610.00,12.90,26.85,1.23,4.56,0.00,0.00
20230616,29790.00,15.65,29.65,1.09,7.26,0.50,0.00
20230617,26760.00,13.75,24.60,1.20,3.96,0.00,0.00
20230618,22590.00,14.70,22.15,1.34,4.83,0.60,0.00
20230619,25230.00,13.80,22.95,1.32,5.88,0.30,0.00
20230620,22850.00,13.45,21.85,1.36,3.98,10.20,0.00
20230621,25560.00,12.80,24.65,1.17,5.75,0.00,0.00
20230622,29040.00,12.55,24.15,1.10,5.41,0.00,0.00
20230623,31060.00,12.00,27.35,1.06,5.06,0.00,0.00
20230624,30870.00,15.05,29.35,1.18,4.97,0.00,0.00
