## Site Characteristics
Country='Turkey'
Station='Ankara_Polatlı'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=32.145
Latitude=39.575
Elevation=848.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,9400.00,-3.00,7.20,0.47,2.53,0.00,0.00
20230101,9850.00,-4.85,5.75,0.39,2.28,0.00,0.00
20230102,9770.00,-3.00,4.65,0.35,1.80,0.00,0.00
20230103,9750.00,-5.00,4.75,0.36,2.15,0.00,0.00
20230104,9550.00,-3.25,5.85,0.41,3.56,0.00,0.00
20230105,5060.00,-4.80,4.15,0.47,3.01,1.10,0.00
20230106,8760.00,-3.30,4.70,0.54,1.63,0.00,0.00
20230107,8290.00,-4.70,3.00,0.46,2.33,0.00,0.00
20230108,9940.00,-5.50,4.70,0.39,3.54,0.00,0.00
20230109,10000.00,-5.30,8.40,0.43,4.19,0.00,0.00
20230110,5960.00,1.55,10.40,0.65,6.44,0.90,0.00
20230111,6700.00,0.75,11.50,0.58,5.66,0.10,0.00
20230112,9180.00,-2.20,9.05,0.45,2.68,0.00,0.00
20230113,10390.00,-3.50,6.95,0.41,2.28,0.00,0.00
20230114,9960.00,-2.70,7.55,0.35,2.73,0.00,0.00
20230115,10440.00,-3.80,8.35,0.41,3.58,0.00,0.00
20230116,10340.00,-0.20,11.10,0.53,5.12,0.00,0.00
20230117,10370.00,2.50,13.40,0.61,5.36,0.00,0.00
20230118,10590.00,1.05,13.65,0.59,4.10,0.00,0.00
20230119,11170.00,-1.85,14.15,0.47,3.96,0.00,0.00
20230120,10900.00,-0.15,12.30,0.55,3.75,0.00,0.00
20230121,10980.00,-2.45,10.15,0.47,1.89,0.00,0.00
20230122,11180.00,-0.85,9.85,0.48,2.02,0.00,0.00
20230123,11380.00,-1.40,9.10,0.46,2.50,0.00,0.00
20230124,9580.00,-3.45,4.75,0.48,2.61,0.00,0.00
20230125,11340.00,-4.25,7.45,0.46,2.65,0.00,0.00
20230126,5680.00,-0.10,10.50,0.47,7.35,3.10,0.00
20230127,9410.00,0.50,9.80,0.65,6.30,9.60,0.00
