## Site Characteristics
Country='Turkey'
Station='Antalya_Manavgat'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=31.443
Latitude=36.785
Elevation=10.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,10300.00,9.80,18.55,0.58,4.75,0.00,0.00
20230101,10430.00,8.85,19.50,0.59,4.05,0.00,0.00
20230102,10300.00,7.15,17.75,0.58,3.76,0.00,0.00
20230103,10900.00,6.50,17.35,0.63,3.05,0.00,0.00
20230104,10580.00,8.45,17.85,0.63,3.41,0.00,0.00
20230105,9960.00,7.60,18.20,0.80,3.55,0.00,0.00
20230106,10810.00,9.20,17.70,0.77,3.86,0.00,0.00
20230107,10400.00,9.10,17.55,0.78,4.74,0.00,0.00
20230108,10810.00,8.60,16.90,0.64,4.28,0.00,0.00
20230109,4950.00,9.95,16.50,0.92,5.99,4.10,0.00
20230110,1660.00,13.50,15.35,1.31,10.23,31.50,0.00
20230111,2240.00,11.35,13.80,1.26,6.94,35.50,0.00
20230112,3820.00,10.65,13.65,1.03,4.47,4.20,0.00
20230113,10800.00,8.25,16.70,0.74,3.79,0.00,0.00
20230114,8870.00,8.20,17.10,0.73,4.04,0.00,0.00
20230115,10790.00,9.00,17.45,0.85,3.14,0.00,0.00
20230116,5770.00,10.80,16.00,1.14,4.31,15.90,0.00
20230117,8070.00,12.40,17.00,1.14,3.98,1.20,0.00
20230118,11310.00,9.25,18.15,1.06,3.19,0.00,0.00
20230119,11300.00,7.85,18.10,0.95,4.53,0.00,0.00
20230120,11470.00,9.80,18.80,0.92,3.69,0.00,0.00
20230121,11440.00,8.95,19.15,0.84,3.81,0.00,0.00
20230122,11380.00,8.45,17.95,0.78,3.30,0.00,0.00
20230123,11930.00,8.35,18.00,0.74,3.42,0.00,0.00
20230124,11820.00,8.00,17.60,0.77,3.33,0.00,0.00
