## Site Characteristics
Country='Turkey'
Station='Kayseri_Develi_Sultan_Sazlığı_çevresi'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=35.215
Latitude=38.355
Elevation=1073.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,10300.00,-2.54,5.51,0.33,2.55,0.00,0.00
20230101,10770.00,-5.44,5.61,0.25,2.66,0.00,0.00
20230102,10670.00,-5.19,7.56,0.20,2.94,0.00,0.00
20230103,10900.00,-5.09,8.61,0.27,3.18,0.00,0.00
20230104,10470.00,-4.69,5.96,0.40,1.63,0.00,0.00
20230105,9590.00,-1.39,8.36,0.43,2.95,4.20,0.00
20230106,9980.00,-2.84,6.16,0.50,3.54,0.00,0.00
20230107,10670.00,-3.44,3.41,0.39,2.40,0.00,0.00
20230108,10940.00,-3.39,2.86,0.41,2.37,0.00,0.00
20230109,11030.00,-4.14,5.76,0.33,2.33,0.00,0.00
20230110,10630.00,-3.89,9.91,0.42,4.03,0.00,0.00
20230111,7120.00,-0.74,8.96,0.33,6.68,0.00,0.00
20230112,11080.00,-4.04,8.51,0.36,6.84,0.00,0.00
20230113,10620.00,-3.99,7.96,0.46,4.49,0.00,0.00
20230114,9410.00,-3.49,8.41,0.52,3.88,0.00,0.00
20230115,10110.00,-2.14,9.51,0.55,4.84,0.00,0.00
20230116,10890.00,-1.19,10.31,0.58,3.67,0.00,0.00
20230117,10950.00,0.86,11.11,0.58,3.41,0.00,0.00
20230118,11610.00,0.61,9.06,0.54,2.53,0.00,0.00
20230119,11850.00,-1.89,13.91,0.44,6.45,0.00,0.00
20230120,11890.00,-2.64,9.06,0.46,2.66,0.00,0.00
20230121,11760.00,-0.04,8.91,0.46,2.31,0.00,0.00
20230122,12080.00,-3.24,10.01,0.44,2.38,0.00,0.00
20230123,12140.00,-2.39,8.61,0.44,3.76,0.00,0.00
20230124,12200.00,-3.29,8.31,0.44,4.53,0.00,0.00
20230125,12410.00,-3.44,7.11,0.47,2.55,0.00,0.00
20230126,6040.00,-1.84,8.91,0.42,9.42,0.70,0.00
20230127,8030.00,2.16,9.21,0.60,8.23,10.80,0.00
20230128,9970.00,-0.04,7.86,0.59,2.30,9.00,0.00
20230129,11320.00,-1.09,6.16,0.54,2.20,3.90,0.00
20230130,9810.00,-1.94,6.71,0.54,4.52,5.80,0.00
20230131,6960.00,-0.64,3.36,0.44,6.06,1.70,0.00
20230201,12070.00,-4.69,2.61,0.34,7.24,0.00,0.00
20230202,13670.00,-3.99,6.36,0.33,4.62,0.00,0.00
20230203,10090.00,-3.24,4.11,0.39,3.01,1.40,0.00
20230204,8070.00,-3.39,3.96,0.42,6.41,1.50,0.00
20230205,4480.00,-1.09,2.56,0.52,8.38,21.80,0.00
20230206,12990.00,-6.69,-1.44,0.36,8.91,3.00,0.00
20230207,13980.00,-14.19,-4.49,0.26,5.16,0.00,0.00
20230208,10990.00,-12.34,-2.29,0.30,4.36,0.00,0.00
20230209,11340.00,-12.04,-5.84,0.25,2.24,0.00,0.00
20230210,11850.00,-14.34,-3.69,0.22,3.00,0.00,0.00
20230211,14600.00,-10.99,-1.44,0.27,2.21,0.00,0.00
20230212,10170.00,-9.14,-0.99,0.30,5.99,0.00,0.00
20230213,15070.00,-9.54,0.16,0.27,4.70,0.00,0.00
20230214,12130.00,-7.09,1.41,0.31,4.58,0.00,0.00
20230215,15210.00,-6.04,1.66,0.32,5.38,0.00,0.00
20230216,15560.00,-6.54,3.71,0.33,2.12,0.00,0.00
20230217,15760.00,-2.84,9.81,0.36,2.35,0.00,0.00
20230218,12650.00,0.06,12.16,0.44,3.48,0.00,0.00
20230219,12410.00,-0.24,13.01,0.50,5.30,1.30,0.00
20230220,15160.00,-1.04,9.66,0.50,4.02,0.00,0.00
20230221,16400.00,-3.54,11.71,0.47,2.86,0.00,0.00
20230222,16130.00,0.81,13.46,0.50,3.41,0.00,0.00
20230223,16870.00,-0.49,10.06,0.48,2.53,0.00,0.00
20230224,14840.00,1.61,13.86,0.48,3.61,0.00,0.00
20230225,17290.00,2.81,15.81,0.49,4.75,0.00,0.00
20230226,17440.00,4.06,16.86,0.52,2.62,0.00,0.00
20230227,16860.00,3.01,18.66,0.58,2.92,0.00,0.00
20230228,16820.00,4.51,18.26,0.62,2.11,0.30,0.00
20230301,16460.00,6.01,20.01,0.56,3.52,0.50,0.00
20230302,13860.00,6.11,16.01,0.76,3.58,2.20,0.00
20230303,17440.00,4.11,18.71,0.64,5.38,0.10,0.00
20230304,11150.00,6.31,17.21,0.73,7.94,2.80,0.00
20230305,15960.00,0.56,12.61,0.59,5.74,2.00,0.00
20230306,17090.00,0.31,14.46,0.54,3.73,0.00,0.00
20230307,15030.00,4.31,13.51,0.57,2.24,0.00,0.00
