## Site Characteristics
Country='Turkey'
Station='Konya_Karapınar'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=33.55
Latitude=37.715
Elevation=993.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,9780.00,-3.45,3.30,0.48,2.75,0.00,0.00
20230101,10050.00,-6.00,3.10,0.45,2.46,0.00,0.00
20230102,10020.00,-6.20,3.30,0.44,1.96,0.00,0.00
20230103,10150.00,-7.80,3.65,0.41,3.04,0.00,0.00
20230104,10150.00,-5.50,3.05,0.43,2.64,0.00,0.00
20230105,10010.00,-4.65,8.00,0.43,3.57,0.00,0.00
20230106,9820.00,-2.65,4.60,0.53,3.49,0.20,0.00
20230107,10200.00,-4.00,2.90,0.46,3.98,0.00,0.00
20230108,10470.00,-5.65,1.50,0.42,2.19,0.00,0.00
20230109,11100.00,-5.15,7.65,0.38,4.56,0.00,0.00
20230110,8600.00,0.05,11.00,0.54,6.28,0.00,0.00
20230111,6200.00,0.20,7.65,0.56,3.23,0.00,0.00
20230112,10700.00,-3.75,7.15,0.44,2.43,0.00,0.00
20230113,11150.00,-3.55,7.10,0.46,2.77,0.00,0.00
20230114,9220.00,-2.25,8.15,0.51,2.85,0.10,0.00
20230115,11040.00,-1.00,7.95,0.56,2.68,0.10,0.00
20230116,10390.00,-0.25,12.25,0.59,5.97,0.00,0.00
20230117,11300.00,0.55,12.95,0.59,4.93,0.00,0.00
20230118,11790.00,0.55,12.75,0.53,3.32,0.00,0.00
20230119,12150.00,-2.50,13.85,0.42,4.39,0.00,0.00
20230120,12100.00,-1.50,11.00,0.45,2.92,0.00,0.00
20230121,12190.00,-1.25,10.75,0.45,2.86,0.00,0.00
20230122,12050.00,-3.90,9.90,0.48,2.89,0.00,0.00
20230123,12330.00,-2.80,9.55,0.51,2.79,0.00,0.00
20230124,12210.00,-3.35,6.75,0.52,3.85,0.00,0.00
20230125,11940.00,-3.95,7.25,0.47,3.26,0.00,0.00
20230126,9300.00,-0.95,14.10,0.37,9.87,0.10,0.00
20230127,9730.00,3.55,11.85,0.65,11.38,6.50,0.00
20230128,9770.00,0.50,7.65,0.60,3.89,3.90,0.00
20230129,11230.00,-1.10,5.70,0.51,3.93,0.30,0.00
20230130,5070.00,-2.80,1.60,0.47,6.90,7.00,0.00
20230131,7420.00,-6.75,0.10,0.40,6.55,0.40,0.00
20230201,13470.00,-6.35,0.55,0.32,6.35,0.00,0.00
20230202,13750.00,-7.50,5.30,0.29,4.46,0.00,0.00
20230203,12110.00,-3.45,0.60,0.44,4.00,5.20,0.00
20230204,7740.00,-3.90,3.75,0.46,4.26,3.20,0.00
20230205,4900.00,-1.20,0.80,0.53,10.69,12.90,0.00
20230206,15100.00,-8.20,-1.55,0.39,10.83,1.80,0.00
20230207,14910.00,-12.25,-6.10,0.27,5.99,0.10,0.00
20230208,12370.00,-11.70,-5.25,0.28,3.11,0.20,0.00
20230209,13480.00,-14.05,-8.15,0.25,2.20,0.00,0.00
20230210,13240.00,-16.50,-8.20,0.21,2.68,0.00,0.00
20230211,14630.00,-14.45,-8.00,0.21,2.98,0.00,0.00
20230212,13640.00,-14.00,-5.70,0.22,2.73,0.00,0.00
20230213,12770.00,-13.65,-5.15,0.24,2.22,0.00,0.00
20230214,14410.00,-13.75,-2.15,0.26,3.06,0.00,0.00
20230215,15830.00,-8.70,-0.65,0.32,3.71,0.10,0.00
20230216,16310.00,-12.65,1.20,0.28,3.05,0.00,0.00
20230217,16500.00,-6.50,6.70,0.32,3.42,0.00,0.00
20230218,16060.00,-3.20,11.05,0.37,3.62,0.00,0.00
20230219,15690.00,-0.45,12.15,0.51,7.16,0.00,0.00
20230220,15640.00,-2.45,7.90,0.54,2.96,0.00,0.00
20230221,16780.00,-1.70,11.70,0.49,3.31,0.00,0.00
20230222,16330.00,-1.95,11.50,0.55,3.91,0.00,0.00
20230223,16810.00,-1.55,12.05,0.59,3.35,0.00,0.00
20230224,15480.00,0.85,14.05,0.57,6.82,0.00,0.00
20230225,17320.00,1.30,15.65,0.59,8.24,0.00,0.00
20230226,15890.00,2.55,18.15,0.52,6.02,0.00,0.00
20230227,16610.00,4.00,20.30,0.62,4.20,0.00,0.00
20230228,17420.00,4.20,20.50,0.62,3.95,0.00,0.00
20230301,15750.00,5.50,19.10,0.51,4.52,0.00,0.00
20230302,17080.00,7.80,19.15,0.58,5.72,0.00,0.00
20230303,17520.00,4.25,18.15,0.51,4.19,0.30,0.00
20230304,12950.00,7.80,19.25,0.58,11.09,0.00,0.00
20230305,17610.00,2.90,12.30,0.57,9.35,0.70,0.00
20230306,16500.00,0.70,15.10,0.47,6.52,0.00,0.00
20230307,16580.00,3.20,14.35,0.52,4.84,0.00,0.00
20230308,17550.00,1.70,16.85,0.50,5.50,0.00,0.00
20230309,18640.00,3.65,19.25,0.57,6.72,0.00,0.00
20230310,18390.00,7.20,17.45,0.57,12.27,0.00,0.00
20230311,6960.00,10.20,15.80,0.64,12.21,4.30,0.00
20230312,4450.00,3.35,9.70,0.84,6.41,12.30,0.00
20230313,11740.00,2.05,8.65,0.71,4.40,0.10,0.00
20230314,12940.00,2.60,10.90,0.76,3.31,0.10,0.00
20230315,18700.00,2.90,14.95,0.73,8.39,1.30,0.00
20230316,11400.00,5.35,10.70,0.80,4.30,4.20,0.00
20230317,12410.00,2.40,10.40,0.79,4.91,3.80,0.00
20230318,4140.00,4.55,6.55,0.81,7.53,9.20,0.00
20230319,14940.00,4.30,9.30,0.74,8.68,0.30,0.00
20230320,20560.00,0.75,11.95,0.69,3.31,0.00,0.00
20230321,18360.00,0.85,13.85,0.70,3.36,0.00,0.00
20230322,20560.00,3.80,14.40,0.78,4.27,0.20,0.00
20230323,21450.00,3.15,13.60,0.76,5.19,0.00,0.00
20230324,19680.00,2.15,14.10,0.72,4.20,0.00,0.00
20230325,21940.00,1.60,16.70,0.69,3.07,0.00,0.00
20230326,22390.00,4.55,17.75,0.81,5.91,0.00,0.00
20230327,19980.00,7.10,17.70,0.71,12.28,1.30,0.00
20230328,12410.00,0.05,7.50,0.62,10.98,10.50,0.00
20230329,21710.00,-3.75,3.85,0.34,7.38,0.00,0.00
20230330,23650.00,-4.75,5.35,0.39,4.74,0.00,0.00
20230331,22450.00,-0.20,16.10,0.55,6.11,0.00,0.00
20230401,16510.00,4.25,17.25,0.82,5.06,3.40,0.00
20230402,23310.00,7.20,20.05,0.78,5.68,0.00,0.00
20230403,22890.00,5.80,21.40,0.65,12.81,0.10,0.00
20230404,21510.00,6.05,17.35,0.65,6.36,0.10,0.00
20230405,22070.00,5.30,14.95,0.67,4.88,0.30,0.00
20230406,13130.00,5.35,10.65,0.72,5.36,5.30,0.00
20230407,22800.00,1.90,13.45,0.69,2.31,0.00,0.00
20230408,20840.00,6.15,20.65,0.89,5.06,0.50,0.00
20230409,22050.00,7.95,20.20,0.92,11.49,4.20,0.00
20230410,22160.00,7.15,16.70,0.83,5.64,5.00,0.00
20230411,21550.00,3.75,11.55,0.75,3.74,2.50,0.00
20230412,18690.00,3.80,12.25,0.66,4.83,0.80,0.00
20230413,25360.00,2.20,18.65,0.67,6.02,0.00,0.00
20230414,25300.00,5.50,20.75,0.71,4.92,0.00,0.00
20230415,23400.00,7.15,22.35,0.75,5.59,0.00,0.00
20230416,24690.00,8.80,24.55,0.66,7.08,0.00,0.00
20230417,23370.00,10.00,25.00,0.59,10.03,0.20,0.00
20230418,24120.00,11.70,23.15,0.64,12.56,0.10,0.00
20230419,24400.00,7.50,18.20,0.65,8.08,0.50,0.00
20230420,25210.00,6.10,17.25,0.68,7.43,0.70,0.00
20230421,25260.00,6.10,18.65,0.68,2.86,0.00,0.00
20230422,23430.00,8.25,19.80,0.79,5.73,5.40,0.00
20230423,23280.00,6.95,16.85,0.80,3.28,0.30,0.00
20230424,25240.00,7.10,20.50,0.71,5.95,0.00,0.00
20230425,24970.00,7.70,20.05,0.74,8.72,0.20,0.00
20230426,19500.00,8.30,17.80,0.85,9.73,10.80,0.00
20230427,15540.00,5.55,12.45,0.82,7.45,2.80,0.00
20230428,13730.00,3.60,10.75,0.65,7.43,0.00,0.00
20230429,20660.00,2.25,12.65,0.65,4.39,0.00,0.00
20230430,27700.00,3.25,15.05,0.61,3.48,0.00,0.00
20230501,27300.00,5.00,17.30,0.62,5.10,0.00,0.00
20230502,28620.00,3.30,20.80,0.56,3.81,0.00,0.00
20230503,22980.00,7.10,22.55,0.55,3.44,0.00,0.00
20230504,20470.00,8.50,24.45,0.68,5.91,0.00,0.00
20230505,22990.00,11.35,21.70,0.72,10.32,0.20,0.00
20230506,24030.00,7.50,19.75,0.88,5.49,0.50,0.00
20230507,20440.00,8.80,19.35,0.95,5.68,0.20,0.00
20230508,26040.00,9.15,21.70,0.82,4.49,0.00,0.00
20230509,26700.00,11.25,23.60,0.89,6.11,0.00,0.00
20230510,24110.00,11.70,24.20,1.18,5.98,0.00,0.00
20230511,17810.00,11.60,20.50,1.15,6.56,3.40,0.00
20230512,17500.00,10.05,19.75,1.14,5.60,0.40,0.00
20230513,27250.00,9.45,21.40,0.99,6.41,0.00,0.00
20230514,28490.00,10.30,23.15,0.81,5.54,0.00,0.00
20230515,28770.00,11.90,26.75,0.92,4.69,0.00,0.00
20230516,26310.00,14.00,30.60,0.87,10.63,0.00,0.00
20230517,26680.00,12.95,25.70,0.85,8.13,0.00,0.00
20230518,25970.00,11.85,21.75,0.92,5.55,1.60,0.00
20230519,19890.00,9.85,19.50,1.04,5.50,1.40,0.00
20230520,26280.00,10.05,21.00,1.03,3.58,0.20,0.00
20230521,20620.00,11.95,20.25,1.11,4.74,1.80,0.00
20230522,24660.00,10.70,21.80,1.08,6.74,3.90,0.00
20230523,27690.00,9.75,22.60,0.97,5.70,0.40,0.00
20230524,27150.00,10.55,22.35,1.06,5.55,0.10,0.00
20230525,26640.00,11.40,22.75,1.15,5.24,2.70,0.00
20230526,24680.00,11.30,25.75,1.07,6.72,5.70,0.00
20230527,14600.00,13.30,18.40,1.11,5.82,5.60,0.00
20230528,24500.00,11.85,22.75,1.12,9.28,1.60,0.00
20230529,24860.00,11.40,22.70,1.09,7.24,0.20,0.00
20230530,26300.00,10.70,22.35,1.13,4.62,0.40,0.00
20230531,26620.00,13.35,24.70,1.23,4.12,2.20,0.00
20230601,20550.00,12.60,22.70,1.38,6.20,1.50,0.00
20230602,25080.00,13.50,26.50,1.18,10.12,0.00,0.00
20230603,24480.00,13.45,22.50,1.39,5.91,10.80,0.00
20230604,22110.00,12.30,20.15,1.41,5.17,5.80,0.00
20230605,24600.00,12.65,22.80,1.38,5.50,0.50,0.00
20230606,30480.00,12.05,24.75,1.32,4.20,0.00,0.00
20230607,25590.00,12.75,26.90,1.29,4.34,0.20,0.00
20230608,25520.00,14.40,26.45,1.19,4.40,0.60,0.00
20230609,26990.00,14.10,26.15,1.31,3.61,0.80,0.00
20230610,21930.00,15.90,25.50,1.48,5.20,11.30,0.00
20230611,18600.00,13.70,20.80,1.55,3.38,5.30,0.00
20230612,24800.00,12.95,22.05,1.48,3.10,0.80,0.00
20230613,24540.00,12.60,21.05,1.49,5.15,2.10,0.00
20230614,24030.00,12.70,23.60,1.42,4.84,0.30,0.00
20230615,29000.00,11.90,26.10,1.33,3.45,0.00,0.00
20230616,29780.00,15.75,27.50,1.20,7.75,0.00,0.00
20230617,28000.00,13.55,26.00,1.20,4.10,0.00,0.00
