## Site Characteristics
Country='Turkey'
Station='Muş_Merkez'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=41.505
Latitude=38.745
Elevation=1325.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,10230.00,-5.75,4.90,0.17,1.77,0.00,0.00
20230101,10230.00,-7.00,5.45,0.14,2.39,0.00,0.00
20230102,10220.00,-6.10,6.55,0.15,1.58,0.00,0.00
20230103,10350.00,-4.70,6.85,0.18,1.63,0.00,0.00
20230104,9890.00,-3.95,6.25,0.21,2.69,0.00,0.00
20230105,9380.00,-3.75,6.00,0.35,3.05,0.00,0.00
20230106,6580.00,-4.15,4.65,0.48,2.80,1.50,0.00
20230107,10110.00,-5.10,3.65,0.32,1.97,0.00,0.00
20230108,10390.00,-5.25,2.45,0.32,2.12,0.10,0.00
20230109,10640.00,-7.70,2.05,0.26,2.08,0.00,0.00
20230110,10720.00,-8.05,2.75,0.22,1.70,0.00,0.00
20230111,9960.00,-7.95,3.15,0.24,1.92,0.00,0.00
20230112,9450.00,-6.65,3.30,0.24,2.30,0.00,0.00
20230113,7770.00,-2.95,3.55,0.36,2.30,0.00,0.00
20230114,10570.00,-5.25,4.40,0.41,1.79,0.00,0.00
20230115,10140.00,-5.50,4.30,0.38,2.56,0.00,0.00
20230116,10610.00,-4.50,5.30,0.44,1.58,0.00,0.00
20230117,10990.00,-3.45,5.75,0.44,1.84,0.00,0.00
20230118,11060.00,-4.35,7.10,0.40,1.93,0.00,0.00
20230119,11240.00,-3.85,8.05,0.39,1.80,0.00,0.00
20230120,11290.00,-3.85,8.25,0.34,2.37,0.00,0.00
20230121,11450.00,-3.95,7.30,0.35,2.10,0.00,0.00
20230122,11550.00,-4.40,5.95,0.36,2.24,0.00,0.00
20230123,11670.00,-5.50,5.55,0.29,2.50,0.00,0.00
20230124,11820.00,-5.90,4.30,0.23,1.96,0.00,0.00
20230125,11670.00,-4.80,4.05,0.25,1.80,0.00,0.00
20230126,12340.00,-6.30,5.00,0.23,2.30,0.00,0.00
20230127,3620.00,-4.10,0.95,0.34,2.20,6.80,0.00
20230128,7630.00,-4.40,4.50,0.47,2.09,1.40,0.00
20230129,4790.00,-5.75,0.35,0.41,1.03,2.70,0.00
20230130,4670.00,-3.45,-0.25,0.48,1.21,9.10,0.00
20230131,8460.00,-2.50,1.50,0.51,1.81,8.30,0.00
20230201,9770.00,-2.60,2.35,0.51,2.82,26.60,0.00
20230202,13770.00,-12.90,-2.10,0.29,2.82,0.00,0.00
20230203,8810.00,-15.55,-5.90,0.25,2.16,7.60,0.00
20230204,8080.00,-7.65,-0.75,0.40,1.60,10.80,0.00
20230205,7250.00,-2.85,2.00,0.57,2.28,43.10,0.00
