## Site Characteristics
Country='Turkey'
Station='Şanlıurfa_Akçakale'
Description='OpenMeteo Daily Data'
Source='OpenMeteo'
Contact='None'
Longitude=38.948
Latitude=36.711
Elevation=362.0
AngstromA=0.18
AngstromB=0.55
HasSunshine=False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20221231,10380.00,-0.95,13.40,0.56,2.53,0.00,0.00
20230101,10630.00,-2.40,13.90,0.50,2.98,0.00,0.00
20230102,10610.00,-1.80,14.55,0.52,2.72,0.00,0.00
20230103,10250.00,-0.60,15.40,0.49,2.86,0.00,0.00
20230104,10600.00,-2.30,14.25,0.47,2.95,0.00,0.00
20230105,9960.00,-0.60,11.45,0.69,3.00,0.00,0.00
20230106,4560.00,2.95,10.10,0.90,2.05,1.60,0.00
20230107,6810.00,1.35,9.30,0.74,2.31,0.00,0.00
20230108,10410.00,-0.20,11.05,0.64,2.50,0.00,0.00
20230109,10930.00,-1.75,11.60,0.47,2.82,0.00,0.00
20230110,10940.00,-3.75,10.80,0.49,2.70,0.00,0.00
20230111,9460.00,-1.70,11.25,0.52,3.32,0.00,0.00
20230112,10380.00,0.30,11.30,0.61,3.76,0.00,0.00
20230113,4050.00,6.10,11.45,0.85,4.21,2.20,0.00
20230114,10140.00,3.55,13.70,0.84,2.34,0.00,0.00
20230115,4920.00,3.10,11.20,0.85,4.12,1.30,0.00
20230116,8200.00,4.45,14.15,0.90,2.41,0.40,0.00
20230117,10580.00,2.10,15.45,0.85,3.20,0.00,0.00
20230118,11130.00,2.30,15.20,0.80,2.67,0.00,0.00
20230119,11250.00,1.80,15.55,0.78,2.75,0.00,0.00
20230120,11400.00,1.85,15.65,0.77,2.37,0.00,0.00
20230121,11620.00,0.95,16.25,0.69,2.22,0.00,0.00
20230122,11500.00,-0.10,15.20,0.70,2.33,0.00,0.00
20230123,11710.00,0.50,14.25,0.66,2.33,0.00,0.00
20230124,11640.00,-0.60,13.50,0.68,2.33,0.00,0.00
20230125,11920.00,0.20,14.00,0.62,2.58,0.00,0.00
20230126,11980.00,-0.30,14.10,0.56,3.33,0.00,0.00
20230127,8780.00,5.30,12.55,0.64,6.41,1.20,0.00
20230128,9800.00,5.05,12.35,0.71,3.22,0.00,0.00
20230129,6720.00,4.00,10.90,0.82,2.78,3.70,0.00
20230130,2920.00,3.95,9.30,0.89,2.02,12.40,0.00
20230131,7090.00,2.85,11.40,0.87,6.38,8.00,0.00
20230201,9090.00,0.75,11.70,0.61,5.82,1.70,0.00
20230202,12910.00,-2.15,10.15,0.46,2.86,0.00,0.00
20230203,2050.00,1.15,3.70,0.64,5.52,15.20,0.00
20230204,3150.00,0.60,8.65,0.80,4.12,10.00,0.00
20230205,6240.00,5.25,13.30,0.88,7.84,7.40,0.00
20230206,9720.00,1.10,9.80,0.67,5.55,4.30,0.00
20230207,11950.00,-2.05,8.35,0.42,3.47,0.00,0.00
20230208,14010.00,-2.90,9.80,0.41,3.01,0.00,0.00
20230209,12520.00,-2.70,8.75,0.53,3.23,0.60,0.00
20230210,13690.00,-1.65,10.45,0.49,3.30,0.00,0.00
20230211,14620.00,-2.25,10.70,0.37,3.01,0.00,0.00
20230212,14630.00,-2.90,10.40,0.35,3.90,0.00,0.00
20230213,14920.00,-2.15,9.15,0.30,3.83,0.00,0.00
20230214,14950.00,-3.20,9.95,0.33,3.19,0.00,0.00
20230215,15240.00,-3.00,9.60,0.33,3.94,0.00,0.00
20230216,15240.00,-3.15,9.85,0.34,2.63,0.00,0.00
20230217,15340.00,-3.40,11.95,0.45,2.51,0.00,0.00
20230218,14940.00,-1.40,13.80,0.61,2.50,0.00,0.00
20230219,15380.00,0.60,15.55,0.64,2.80,0.00,0.00
20230220,15560.00,1.65,16.55,0.65,2.75,0.00,0.00
20230221,14750.00,2.65,17.00,0.75,2.37,0.00,0.00
20230222,15800.00,3.95,18.15,0.72,2.93,0.00,0.00
20230223,16110.00,6.40,18.75,0.60,4.31,0.00,0.00
20230224,14720.00,5.75,19.65,0.53,3.21,0.00,0.00
20230225,16320.00,4.45,21.55,0.65,3.41,0.00,0.00
20230226,16560.00,5.90,22.75,0.67,3.01,0.00,0.00
20230227,16940.00,6.30,24.15,0.70,2.90,0.00,0.00
20230228,16720.00,5.80,24.10,0.59,3.18,0.00,0.00
20230301,16420.00,7.55,25.20,0.62,3.26,0.00,0.00
20230302,15650.00,12.05,25.10,0.59,6.51,0.00,0.00
20230303,17310.00,10.75,22.70,0.92,4.61,0.00,0.00
20230304,16830.00,6.20,24.20,0.64,4.84,0.00,0.00
20230305,16490.00,12.90,21.00,0.69,7.40,0.00,0.00
20230306,18100.00,6.50,20.00,0.77,3.51,0.00,0.00
20230307,15400.00,6.90,20.60,0.63,2.94,0.00,0.00
20230308,17740.00,6.30,21.75,0.66,5.54,0.00,0.00
20230309,16790.00,7.70,21.20,0.89,5.20,0.00,0.00
20230310,18310.00,7.15,22.55,0.69,4.62,0.00,0.00
20230311,16140.00,12.00,24.40,0.70,7.34,0.20,0.00
20230312,12290.00,13.20,24.25,0.94,6.72,7.20,0.00
20230313,11910.00,13.20,20.65,1.35,6.92,17.30,0.00
20230314,3840.00,12.55,14.85,1.45,6.71,46.40,0.00
20230315,9410.00,10.60,16.70,1.33,2.55,2.00,0.00
20230316,14590.00,7.90,18.50,1.12,3.79,0.10,0.00
20230317,15260.00,8.75,19.05,1.12,6.88,2.30,0.00
20230318,15090.00,9.50,16.75,1.17,4.53,10.30,0.00
20230319,10740.00,7.35,14.20,1.06,3.04,2.80,0.00
20230320,20200.00,7.30,18.90,0.92,3.91,0.00,0.00
20230321,20720.00,7.00,20.40,0.88,2.60,0.00,0.00
20230322,17090.00,7.75,20.00,1.11,2.92,0.00,0.00
20230323,12900.00,12.35,20.05,1.31,3.71,6.30,0.00
20230324,16620.00,12.30,20.50,1.34,5.66,7.40,0.00
20230325,11520.00,11.45,20.45,1.41,3.74,11.00,0.00
20230326,18040.00,10.85,20.25,1.34,3.20,3.70,0.00
20230327,19930.00,8.85,20.05,1.16,5.32,0.00,0.00
20230328,17080.00,9.55,19.15,1.03,9.40,0.20,0.00
20230329,20330.00,7.40,14.85,0.67,4.89,0.00,0.00
20230330,18770.00,3.10,12.45,0.43,6.44,0.30,0.00
20230331,22580.00,1.40,15.00,0.52,3.49,0.00,0.00
20230401,11360.00,5.30,16.65,0.97,2.94,0.00,0.00
20230402,20640.00,7.15,21.45,1.15,2.66,0.00,0.00
20230403,21280.00,8.90,24.80,1.07,6.31,0.00,0.00
20230404,22450.00,10.50,22.30,0.97,5.82,0.00,0.00
